"file","info","pop","n","fsc","chl","pe"
"Ribalet.20140403.A.0006.fcs","67 M","crypto1","559","24395","23704","31971"
"Ribalet.20140403.A.0006.fcs","67 M","crypto2","705","26535","22549","27455"
"Ribalet.20140403.A.0007.fcs","81 S","beads","679","50424","29775","48827"
"Ribalet.20140403.A.0007.fcs","81 S","synecho","2955","20104","16235","17138"
"Ribalet.20140403.A.0007.fcs","81 S","crypto1","146","26493","24798","31275"
"Ribalet.20140403.A.0007.fcs","81 S","crypto2","175","35822","28146","29716"
"Ribalet.20140403.A.0008.fcs","97 M","beads","458","50392","29696","48774"
"Ribalet.20140403.A.0008.fcs","97 M","synecho","550","19721","18272","21239"
"Ribalet.20140403.A.0008.fcs","97 M","crypto1","293","24594","26044","35703"
"Ribalet.20140403.A.0008.fcs","97 M","crypto2","151","27329","26621","34236"
"Ribalet.20140403.A.0009.fcs","3 B","beads","692","50418","29653","48757"
"Ribalet.20140403.A.0009.fcs","3 B","synecho","237","19290","12370","14623"
"Ribalet.20140403.A.0009.fcs","3 B","crypto1","149","28774","27313","36442"
"Ribalet.20140403.A.0009.fcs","3 B","crypto2","547","31322","25122","31483"
"Ribalet.20140403.A.0010.fcs","5 M","beads","1195","50286","29529","48631"
"Ribalet.20140403.A.0010.fcs","5 M","synecho","456","19300","12869","14470"
"Ribalet.20140403.A.0010.fcs","5 M","crypto1","388","29154","25807","34891"
"Ribalet.20140403.A.0010.fcs","5 M","crypto2","926","31007","23355","30214"
"Ribalet.20140403.A.0011.fcs","47 B","beads","566","50286","29632","48716"
"Ribalet.20140403.A.0011.fcs","47 B","synecho","297","18546","13915","15658"
"Ribalet.20140403.A.0011.fcs","47 B","crypto1","343","26124","23924","32847"
"Ribalet.20140403.A.0011.fcs","47 B","crypto2","363","27116","20967","27436"
"Ribalet.20140403.A.0012.fcs","75 S","beads","465","50193","29576","48656"
"Ribalet.20140403.A.0012.fcs","75 S","synecho","1272","20470","17129","18468"
"Ribalet.20140403.A.0012.fcs","75 S","crypto1","84","25643","25361","34374"
"Ribalet.20140403.A.0012.fcs","75 S","crypto2","203","29344","25340","31605"
