time,elevation,ph,temp,sal,conductivity,oxygen,fluo
1379375440,16.8933666666667,8.05347108317391,15.1953306451613,24.5107258064516,3.12571774193548,4.91192307692308,1104.11546424013
1379379040,16.51955,8.00686561267147,16.7576423357664,16.6285328467153,2.27107299270073,4.882475,750.195628420946
1379382640,15.8374166666667,7.9520347043622,17.5889813084112,12.8107943925234,1.8248785046729,4.75078125,616.968733736172
1379386240,15.1233571428571,7.89314029653106,17.848562962963,11.7964814814815,1.70301481481481,4.76617948717949,648.754413035501
1379389840,14.5523461538462,7.85300317919034,18.4344778761062,9.01688495575221,1.34644247787611,4.88857142857143,680.102990707863
1379393440,14.1970769230769,7.8244187557103,18.6091546391753,8.51832989690722,1.28279381443299,4.88421428571429,706.945584230541
1379397040,14.1513666666667,7.81432117308987,18.7947927927928,7.71828828828829,1.17569369369369,4.88117647058824,738.610554118112
1379400640,14.4818666666667,7.83164877675726,19.0014051724138,6.309,0.979612068965517,4.92612121212121,751.128065487221
1379404240,15.0335,7.86049476953514,18.4943015873016,8.8029126984127,1.31511904761905,4.762,734.783033020283
1379407840,15.6507666666667,7.87853989909912,17.8143650793651,12.0158571428571,1.72866666666667,4.7065641025641,709.284530047585
1379411440,16.1998260869565,7.90340196887858,17.2410240963855,14.8245180722892,2.07171084337349,4.66418518518519,757.185246995537
1379415040,16.71148,8.01659314841333,14.63524,25.61536,3.21264,4.7617619047619,1176.69062290294
1379418640,16.8900476190476,8.07534499773674,14.095544,28.030656,3.442648,4.84047368421053,1406.82590596175
1379422240,16.7459166666667,8.09047908511737,14.9567829457364,25.8956589147287,3.26442635658915,5.09964285714286,1352.04207213121
1379425840,16.3051,8.05362297016812,16.5091315789474,18.6990701754386,2.51834210526316,5.04418518518519,966.113256614473
1379429440,15.7289333333333,8.00957610222799,17.3089189189189,15.3028468468468,2.13416216216216,4.99091666666667,713.689657494948
1379433040,15.1569666666667,7.96498162033836,18.2273695652174,11.8757717391304,1.72823913043478,5.06978947368421,683.880600112089
1379436640,14.68828,7.9138237590348,18.6456091954023,9.67916091954023,1.44340229885057,5.05305,683.992045293247
1379440240,14.5686785714286,7.89149431498868,19.0268611111111,7.70144444444444,1.17913888888889,5.07833333333333,653.069746281034
1379443840,14.7802413793103,7.89507769189751,19.1976355140187,6.37426168224299,0.993364485981308,5.0933,612.429315230924
1379447440,15.293380952381,7.9141046849672,18.662212962963,8.47919444444444,1.27525,5.03928571428571,634.473402202741
1379451040,15.8768275862069,7.93971805366633,17.8225327102804,12.6694205607477,1.81678504672897,5.00625,791.664570127888
1379454640,16.4277826086957,7.98345460875142,16.7441666666667,17.298137254902,2.35872549019608,4.91626315789474,1040.87394939074
1379458240,16.8992413793103,8.04487871072221,15.4710967741935,23.593752688172,3.03915053763441,5.03611111111111,1283.59282923889
1379461840,17.0907333333333,8.0793130112558,14.7177462686567,27.1320298507463,3.39126865671642,5.08192307692308,1374.355249246
1379465440,16.924,8.073311527969,15.0539793814433,25.3868144329897,3.2140824742268,5.08463157894737,1234.25833109485
1379469040,16.3643684210526,8.04018212655193,16.3440186915888,18.4120093457944,2.47417757009346,4.99085,912.299902793072
1379472640,15.7534230769231,7.99310170569452,17.1752990654206,14.3807196261682,2.00563551401869,4.8951,660.538103523345
1379476240,15.0150740740741,7.94717547835209,17.8034111111111,11.1601555555556,1.61652222222222,4.95461111111111,633.224707706708
1379479840,14.44324,7.90521884986952,18.42906,8.57002,1.28417,5.0411,733.815510437219
1379483440,14.143275862069,7.88206200573729,18.7385421686747,7.51801204819277,1.14595180722892,5.01404545454545,828.520394133734
1379487040,14.2157,7.87500572692915,18.9962407407407,6.15112037037037,0.956694444444444,5.03897368421053,853.470473169773
1379490640,14.58675,7.87311124852653,19.1390170940171,5.6934358974359,0.893025641025641,5.04355555555556,813.994588512112
1379494240,15.2479047619048,7.87916449750421,18.5825241935484,8.64623387096774,1.29779032258065,4.95336842105263,797.372497893494
1379497840,15.9323125,7.9098052682649,17.7706666666667,12.4741833333333,1.78685,4.86581578947368,869.563704383589
1379501440,16.5241538461538,7.95850618662782,16.4928099173554,18.7393388429752,2.51490082644628,4.89376315789474,1025.93532166672
1379505040,16.9709,8.00259317547154,14.4700267857143,27.18875,3.37697321428571,4.83123684210526,1185.61197470511
1379508640,17.0437,8.02144637774195,14.195,29.1391132075472,3.5737358490566,4.87891176470588,1215.03642635806
1379512240,16.7608666666667,8.01151166083267,15.2359509803922,25.7937549019608,3.27158823529412,4.98205,1094.93413106265
1379515840,16.2113,8.00093217738898,17.16275,17.6367934782609,2.424,5.034,879.645736715119
1379519440,15.5558,8.00090977395272,18.6510818181818,11.4901454545455,1.68944545454545,5.101,694.317112344849
1379523040,14.9077586206897,7.97593333647427,19.04466,9.20737,1.39048,5.17036842105263,668.991144010101
1379526640,14.4569259259259,7.92397376902193,19.2587872340426,7.51803191489362,1.15825531914894,5.11733333333333,713.650092066223
1379530240,14.377037037037,7.88794625760527,19.5458045977011,5.5172183908046,0.875080459770115,5.13240740740741,704.209149198346
1379533840,14.6673214285714,7.89266407641436,19.68132,4.491624,0.724848,5.09215789473684,657.788872589651
1379537440,15.2604444444444,7.91163651535089,19.219424,6.568984,1.016816,5.05071052631579,644.449456817574
1379541040,15.8823928571429,7.93814757722329,18.309616,10.864608,1.590768,5.01134210526316,707.56001712845
1379544640,16.4561428571429,7.98063070524269,17.083056,16.456088,2.271432,4.87302631578947,893.521582337206
1379548240,16.9178965517241,8.04018976170384,15.4319117647059,24.3892843137255,3.12604901960784,5.06544,1223.93452021206
1379551840,17.072037037037,8.09865530029677,14.6541272727273,27.9398272727273,3.47746363636364,5.11363888888889,1442.44686889215
1379555440,16.9344545454545,8.10621209061092,15.3687966101695,23.9270169491525,3.0623813559322,5.09372972972973,1195.88288688562
