file,info.y,info.x,time,pop,n,fsc,chl,pe,vol
Ribalet.20140328.A.0004.fcs,99,S,10/01/13 11:40:00 AM,crypto1,277,25463,25673,33902,0.08
Ribalet.20140328.A.0004.fcs,99,S,10/01/13 11:40:00 AM,synecho,1011,20131,18109,20517,0.08
Ribalet.20140328.A.0004.fcs,99,S,10/01/13 11:40:00 AM,beads,577,50037,28883,47673,0.08
Ribalet.20140328.A.0005.fcs,109,M,10/03/13 01:50:00 PM,beads,457,50098,28989,47771,0.05
Ribalet.20140328.A.0005.fcs,109,M,10/03/13 01:50:00 PM,synecho,111,19833,17724,20495,0.05
Ribalet.20140328.A.0005.fcs,109,M,10/03/13 01:50:00 PM,crypto1,401,25551,27076,35306,0.05
Ribalet.20140328.A.0005.fcs,109,M,10/03/13 01:50:00 PM,crypto2,31,31536,28163,32881,0.05
Ribalet.20140403.A.0001.fcs,1,S,09/09/13 04:38:00 PM,crypto1,584,29130,24507,32057,0.12
Ribalet.20140403.A.0001.fcs,1,S,09/09/13 04:38:00 PM,crypto2,503,31918,24410,28669,0.12
Ribalet.20140403.A.0001.fcs,1,S,09/09/13 04:38:00 PM,beads,821,49823,28734,47637,0.12
Ribalet.20140403.A.0001.fcs,1,S,09/09/13 04:38:00 PM,synecho,543,18763,12128,13612,0.12
Ribalet.20140403.A.0002.fcs,15,B,09/11/13 09:30:00 AM,crypto1,236,25616,24316,31791,0.06
Ribalet.20140403.A.0002.fcs,15,B,09/11/13 09:30:00 AM,crypto2,235,28575,24240,28852,0.06
Ribalet.20140403.A.0002.fcs,15,B,09/11/13 09:30:00 AM,synecho,529,18919,12740,13030,0.06
Ribalet.20140403.A.0002.fcs,15,B,09/11/13 09:30:00 AM,beads,489,49438,28567,47512,0.06
Ribalet.20140403.A.0003.fcs,25,M,09/13/13 09:20:00 AM,crypto1,247,25048,24022,32773,0.12
Ribalet.20140403.A.0003.fcs,25,M,09/13/13 09:20:00 AM,crypto2,265,27434,23083,28847,0.12
Ribalet.20140403.A.0003.fcs,25,M,09/13/13 09:20:00 AM,synecho,789,18655,13775,14817,0.12
Ribalet.20140403.A.0003.fcs,25,M,09/13/13 09:20:00 AM,beads,826,49343,28374,47328,0.12
Ribalet.20140403.A.0004.fcs,39,B,09/17/13 01:15:00 PM,synecho,310,20861,17647,21513,0.13
Ribalet.20140403.A.0004.fcs,39,B,09/17/13 01:15:00 PM,crypto1,138,29179,30181,40271,0.13
Ribalet.20140403.A.0004.fcs,39,B,09/17/13 01:15:00 PM,beads,1159,50290,29198,48220,0.13
Ribalet.20140403.A.0004.fcs,39,B,09/17/13 01:15:00 PM,crypto2,608,28521,26347,34498,0.13
Ribalet.20140403.A.0005.fcs,57,S,09/20/13 03:05:00 PM,crypto1,289,25331,24275,32600,0.09
Ribalet.20140403.A.0005.fcs,57,S,09/20/13 03:05:00 PM,synecho,256,18665,14835,16104,0.09
Ribalet.20140403.A.0005.fcs,57,S,09/20/13 03:05:00 PM,crypto2,286,27359,22753,27752,0.09
Ribalet.20140403.A.0005.fcs,57,S,09/20/13 03:05:00 PM,beads,710,50354,29625,48673,0.09
Ribalet.20140403.A.0006.fcs,67,M,09/24/13 03:28:00 PM,crypto1,559,24395,23704,31971,0.1
Ribalet.20140403.A.0006.fcs,67,M,09/24/13 03:28:00 PM,beads,674,50372,29718,48775,0.1
Ribalet.20140403.A.0006.fcs,67,M,09/24/13 03:28:00 PM,synecho,709,18945,15467,16243,0.1
Ribalet.20140403.A.0006.fcs,67,M,09/24/13 03:28:00 PM,crypto2,705,26535,22549,27455,0.1
Ribalet.20140403.A.0007.fcs,81,S,09/26/13 10:30:00 AM,beads,679,50424,29775,48827,0.08
Ribalet.20140403.A.0007.fcs,81,S,09/26/13 10:30:00 AM,crypto2,175,35822,28146,29716,0.08
Ribalet.20140403.A.0007.fcs,81,S,09/26/13 10:30:00 AM,crypto1,146,26493,24798,31275,0.08
Ribalet.20140403.A.0007.fcs,81,S,09/26/13 10:30:00 AM,synecho,2955,20104,16235,17138,0.08
Ribalet.20140403.A.0008.fcs,97,M,10/01/13 11:45:00 AM,beads,458,50392,29696,48774,0.06
Ribalet.20140403.A.0008.fcs,97,M,10/01/13 11:45:00 AM,crypto1,293,24594,26044,35703,0.06
Ribalet.20140403.A.0008.fcs,97,M,10/01/13 11:45:00 AM,synecho,550,19721,18272,21239,0.06
Ribalet.20140403.A.0008.fcs,97,M,10/01/13 11:45:00 AM,crypto2,151,27329,26621,34236,0.06
Ribalet.20140403.A.0009.fcs,3,B,09/09/13 04:40:00 PM,crypto1,149,28774,27313,36442,0.08
Ribalet.20140403.A.0009.fcs,3,B,09/09/13 04:40:00 PM,crypto2,547,31322,25122,31483,0.08
Ribalet.20140403.A.0009.fcs,3,B,09/09/13 04:40:00 PM,beads,692,50418,29653,48757,0.08
Ribalet.20140403.A.0009.fcs,3,B,09/09/13 04:40:00 PM,synecho,237,19290,12370,14623,0.08
Ribalet.20140403.A.0010.fcs,5,M,09/09/13 04:40:00 PM,beads,1195,50286,29529,48631,0.15
Ribalet.20140403.A.0010.fcs,5,M,09/09/13 04:40:00 PM,crypto2,926,31007,23355,30214,0.15
Ribalet.20140403.A.0010.fcs,5,M,09/09/13 04:40:00 PM,synecho,456,19300,12869,14470,0.15
Ribalet.20140403.A.0010.fcs,5,M,09/09/13 04:40:00 PM,crypto1,388,29154,25807,34891,0.15
Ribalet.20140403.A.0011.fcs,47,B,09/19/13 04:30:00 PM,beads,566,50286,29632,48716,0.07
Ribalet.20140403.A.0011.fcs,47,B,09/19/13 04:30:00 PM,synecho,297,18546,13915,15658,0.07
Ribalet.20140403.A.0011.fcs,47,B,09/19/13 04:30:00 PM,crypto2,363,27116,20967,27436,0.07
Ribalet.20140403.A.0011.fcs,47,B,09/19/13 04:30:00 PM,crypto1,343,26124,23924,32847,0.07
Ribalet.20140403.A.0012.fcs,75,S,09/25/13 02:45:00 PM,beads,465,50193,29576,48656,0.07
Ribalet.20140403.A.0012.fcs,75,S,09/25/13 02:45:00 PM,synecho,1272,20470,17129,18468,0.07
Ribalet.20140403.A.0012.fcs,75,S,09/25/13 02:45:00 PM,crypto1,84,25643,25361,34374,0.07
Ribalet.20140403.A.0012.fcs,75,S,09/25/13 02:45:00 PM,crypto2,203,29344,25340,31605,0.07
Ribalet.20140403.A.0013.fcs,69,S,09/24/13 03:34:00 PM,crypto1,412,24333,24809,33555,0.08
Ribalet.20140403.A.0013.fcs,69,S,09/24/13 03:34:00 PM,beads,611,49869,29298,48427,0.08
Ribalet.20140403.A.0013.fcs,69,S,09/24/13 03:34:00 PM,crypto2,626,25278,23092,29502,0.08
Ribalet.20140403.A.0013.fcs,69,S,09/24/13 03:34:00 PM,synecho,740,18921,16727,17781,0.08
Ribalet.20140404.A.0001.fcs,11,S,09/11/13 09:30:00 AM,crypto2,194,31527,24073,26440,0.07
Ribalet.20140404.A.0001.fcs,11,S,09/11/13 09:30:00 AM,beads,402,50665,29620,48604,0.07
Ribalet.20140404.A.0001.fcs,11,S,09/11/13 09:30:00 AM,synecho,752,19198,14005,14351,0.07
