"time","div.ave","div.sd","div.se","div.n"
1380034175,0.151435096348392,0.0736436362390969,0.0196820896802079,14
1380037775,0.152225884497085,0.0735301019923367,0.0196517463764191,14
1380041375,0.152532041815962,0.0738447674364297,0.0197358442537944,14
1380044975,0.152957706612671,0.0742160201109058,0.0198350657046381,14
1380048575,0.149090843676416,0.0717892981693208,0.019186496984754,14
1380052175,0.134831291781574,0.0648877603304621,0.017341983410835,14
1380055775,0.123537942387203,0.0558008670139307,0.0149134090179331,14
1380073775,0.0724483479533884,0.0463151085164176,0.0123782334214065,14
1380084575,0.0383123096385297,0.0155902490564064,0.00416666932453918,14
1380088175,0.0294373025280358,0.0198089583884926,0.00529416681990006,14
1380091775,0.00614989792733681,0.0473307693946609,0.0126496802090876,14
1380102575,0.0225467133720752,0.0192315945286296,0.00513985983767773,14
1380106175,0.0253339369413384,0.0248402805774501,0.00663884423658238,14
1380109775,0.0242250646529129,0.0165738990625319,0.00442956084678343,14
1380127775,0.0286337513955528,0.0200808354204624,0.00536682901311179,14
1380131375,0.021171451083048,0.0157173552932924,0.00420063989526415,14
1380134975,0.0321626833846926,0.0294399878809022,0.00786816772293663,14
1380138575,0.034352662389094,0.015785764747663,0.00421892309099777,14
1380142175,0.0272253027830111,0.0124710295178993,0.00333302283688026,14
1380145775,0.0304071866684371,0.017431728136094,0.00465882531033224,14
1380149375,0.0319493066805034,0.0176263764038378,0.00471084724810554,14
1380152975,0.0304051197986468,0.0189365966217654,0.00506101833072764,14
1380156575,0.0317235898479402,0.0184720657871541,0.00493686724296282,14
1380160175,0.0307907360139112,0.0166932867064486,0.00446146853676562,14
1380163775,0.0296292919025945,0.0160631488955586,0.00429305712285119,14
1380167375,0.0330341204656951,0.0181231188716894,0.0048436072569742,14
1380170975,0.0273980928471083,0.0148559854120984,0.00397042911107029,14
1380174575,0.0285563358325929,0.0155113731352711,0.00414558884789956,14
1380178175,0.0232562127780426,0.0142755847396711,0.00381531050655055,14
1380181775,0.0208689379037907,0.0117179724968205,0.00313175988219589,14
1380185375,0.0183871468604845,0.0108474247226512,0.00289909620292729,14
1380188975,0.0357556229151598,0.0212376160348336,0.00567599163672885,14
1380192575,0.0690173703140484,0.0391948298943591,0.0104752589141126,14
1380196175,0.0455220711295527,0.022098294512549,0.00590601763557035,14
1380199775,0.0632605807978868,0.0160326582803928,0.0042849081631753,14
1380203375,0.060005073057618,0.012993439968441,0.00347264290268007,14
