cruise	file	time	lat	lon	opp_evt_ratio	flow_rate	file_duration	pop	n_count	abundance	fsc_small	chl_small	pe	flag
CMOP_6	2013_256/12.evt	2013-09-13T00:33:23+0000	NA	NA	0.0176987008335504	2473.04999263753	180	beads	3	0.0228468176798905	108.120684661445	25.2638977539173	110.555150104039	0
CMOP_6	2013_256/12.evt	2013-09-13T00:33:23+0000	NA	NA	0.0176987008335504	2473.04999263753	180	crypto	11	0.0837716648262653	392.169956810424	626.832059299306	106.292174688725	0
CMOP_6	2013_256/12.evt	2013-09-13T00:33:23+0000	NA	NA	0.0176987008335504	2473.04999263753	180	other	2614	19.907193805078	111.432367016789	102.420360363543	1.58411539696614	0
CMOP_6	2013_256/12.evt	2013-09-13T00:33:23+0000	NA	NA	0.0176987008335504	2473.04999263753	180	synecho	499	3.80018734075513	34.6219017391831	10.2081029582593	3.33414242864667	0
CMOP_6	2013_256/12.evt	2013-09-13T00:33:23+0000	NA	NA	0.0176987008335504	2473.04999263753	180	unknown	5570	42.4189248256634	141.754173693901	4.8396770757667	1.22372990751385	0
CMOP_6	2013_256/13.evt	2013-09-13T00:36:23+0000	NA	NA	0.0182745304844856	2473.04999263753	180	beads	5	0.036878192434578	522.134742974963	29.3526198845867	118.479804712548	0
CMOP_6	2013_256/13.evt	2013-09-13T00:36:23+0000	NA	NA	0.0182745304844856	2473.04999263753	180	crypto	13	0.0958833003299028	393.816707798866	497.793060810681	108.37253209843	0
CMOP_6	2013_256/13.evt	2013-09-13T00:36:23+0000	NA	NA	0.0182745304844856	2473.04999263753	180	other	2232	16.4624251027956	110.736345535656	114.197912377496	1.62690655481396	0
CMOP_6	2013_256/13.evt	2013-09-13T00:36:23+0000	NA	NA	0.0182745304844856	2473.04999263753	180	synecho	526	3.87958584411761	31.9416616077138	10.6469776061233	3.32313712625895	0
CMOP_6	2013_256/13.evt	2013-09-13T00:36:23+0000	NA	NA	0.0182745304844856	2473.04999263753	180	unknown	5818	42.911464716875	150.616317744219	4.87059333453941	1.24131674946311	0
CMOP_6	2013_256/14.evt	2013-09-13T00:39:23+0000	NA	NA	0.017900300838291	2473.04999263753	180	beads	2	0.015059672079182	197.409003820669	37.7461331896486	145.225125848049	0
