time,fsc,fsc.sd,par
1379364575,365.7499065,121.6476262,136.096
1379368175,388.4101903,56.12035413,148.261
1379371775,406.0692302,61.45307975,581.639
1379375375,NA,NA,698.7275
1379378975,NA,NA,498.765
1379382575,NA,NA,545.904
1379386175,NA,NA,342.1405
1379389775,NA,NA,335.298
1379393375,NA,NA,140.658
1379396975,NA,NA,12.165
1379400575,NA,NA,0
1379404175,NA,NA,0
1379407775,NA,NA,0
1379411375,NA,NA,0
1379414975,NA,NA,0
1379418575,NA,NA,0
1379422175,NA,NA,0
1379425775,NA,NA,0
1379429375,NA,NA,0
1379432975,NA,NA,0
1379436575,NA,NA,0
1379440175,NA,NA,6.0825
1379443775,NA,NA,101.1215
1379447375,366.8099455,79.06824809,253.9445
1379450975,392.6655805,45.79709431,413.61
1379454575,395.8638352,93.75481639,478.997
1379458175,402.7327935,80.03782863,338.5923333
1379461775,430.3280351,106.1458454,507.1285
1379465375,446.1603248,93.9042275,566.433
1379468975,447.6269097,116.1747624,513.971
1379472575,451.2210375,124.9628452,475.1955
1379476175,462.1147429,97.32275541,298.803
1379479775,473.5228284,127.7149472,120.1295
1379483375,514.1652796,102.767607,3.0415
1379486975,458.8769011,117.1734069,0
1379490575,458.2622068,49.79414926,0
1379494175,444.2150113,76.43026894,0
1379497775,439.4413042,88.19276866,0
1379501375,437.9919685,96.35287099,0
1379504975,424.900701,115.510045,0
1379508575,406.9159157,88.81517767,0
1379512175,396.3319145,45.13907621,0
1379515775,359.2396287,48.14024605,0
1379519375,357.2987971,55.17411158,0
1379522975,315.3531203,103.9987507,0
1379526575,296.2916411,53.31842453,26.611
1379530175,NA,NA,132.2945
1379533775,NA,NA,174.872
1379537375,411.3891464,72.99044627,212.127
1379540975,437.810897,45.82051888,319.3315
1379544575,454.4534092,87.64676449,628.018
1379548175,474.5207632,108.0944576,604.4485
1379551775,486.4355732,80.61261486,586.201
1379555375,516.1400255,112.3844942,538.897
1379558975,NA,NA,434.72925
1379562575,NA,NA,297.257
1379566175,NA,NA,140.7115
1379569775,NA,NA,15.115
1379573375,NA,NA,1.44
1379576975,NA,NA,1.44
1379580575,NA,NA,1.44
1379584175,NA,NA,1.44
1379587775,NA,NA,1.44
1379591375,NA,NA,1.44
1379594975,NA,NA,1.44
1379598575,NA,NA,1.44
1379602175,NA,NA,1.44
1379605775,NA,NA,1.44
1379609375,NA,NA,1.44
1379612975,NA,NA,12.236
1379616575,NA,NA,69.45625
1379620175,NA,NA,133.51375
1379623775,NA,NA,72.335
1379627375,NA,NA,73.41475
1379630975,481.9270785,105.4470514,61.89875
1379634575,518.2422728,79.06525715,160.14475
1379638175,NA,NA,124.517
1379641775,NA,NA,186.0555
1379645375,NA,NA,83.1315
1379648975,NA,NA,47.50375
1379652575,NA,NA,10.0765
1379656175,NA,NA,3.959
1379659775,NA,NA,1.44
1379663375,NA,NA,1.44
1379666975,NA,NA,1.44
1379670575,NA,NA,1.44
1379674175,NA,NA,1.44
1379677775,NA,NA,1.44
1379681375,NA,NA,1.44
1379684975,NA,NA,1.44
1379688575,NA,NA,1.44
1379692175,NA,NA,1.44
1379695775,NA,NA,1.44
1379699375,NA,NA,28.0705
1379702975,NA,NA,73.7745
1379706575,NA,NA,80.25225
1379710175,NA,NA,304.4545
1379713775,NA,NA,299.05625
1379717375,NA,NA,467.11775
1379720975,NA,NA,387.2255
1379724575,NA,NA,308.41325
1379728175,NA,NA,439.40775
1379731775,NA,NA,433.64975
1379735375,NA,NA,308.413
1379738975,NA,NA,113.7205
1379742575,NA,NA,3.959
1379746175,NA,NA,1.44
1379749775,NA,NA,1.44
1379753375,NA,NA,1.44
1379756975,NA,NA,1.44
1379760575,NA,NA,1.44
1379764175,NA,NA,1.44
1379767775,NA,NA,1.44
1379771375,NA,NA,1.44
1379774975,NA,NA,1.44
1379778575,NA,NA,1.44
1379782175,NA,NA,1.44
1379785775,NA,NA,2.15975
1379789375,NA,NA,6.118
1379792975,NA,NA,52.542
1379796575,NA,NA,88.5295
1379800175,NA,NA,48.9432
1379803775,NA,NA,91.7685
1379807375,NA,NA,168.7815
1379810975,NA,NA,323.528
1379814575,NA,NA,552.40825
1379818175,NA,NA,229.60075
1379821775,NA,NA,173.316
1379825375,NA,NA,46.0645
1379828975,NA,NA,2.15975
1379832575,NA,NA,1.44
1379836175,NA,NA,1.44
1379839775,NA,NA,1.44
1379843375,NA,NA,1.44
1379846975,NA,NA,1.44
1379850575,NA,NA,1.44
1379854175,NA,NA,1.44
1379857775,NA,NA,1.44
1379861375,NA,NA,1.44
1379864975,NA,NA,1.44
1379868575,NA,NA,1.44
1379872175,NA,NA,11.87625
1379875775,NA,NA,87.09
1379879375,NA,NA,139.6315
1379882975,NA,NA,169.86125
1379886575,NA,NA,205.489
1379890175,NA,NA,155.466
1379893775,NA,NA,486.55125
1379897375,NA,NA,378.9485
1379900975,NA,NA,134.5935
1379904575,NA,NA,181.73725
1379908175,NA,NA,100.4055
1379911775,NA,NA,88.88925
1379915375,NA,NA,3.959
1379918975,NA,NA,1.44
1379922575,NA,NA,1.44
1379926175,NA,NA,1.44
1379929775,NA,NA,1.44
1379933375,NA,NA,1.44
1379936975,NA,NA,1.44
1379940575,NA,NA,1.44
1379944175,NA,NA,1.44
1379947775,NA,NA,1.44
1379951375,NA,NA,1.44
1379954975,NA,NA,1.44
1379958575,NA,NA,3.23925
1379962175,NA,NA,32.245
1379965775,NA,NA,173.45975
1379969375,NA,NA,445.88525
1379972975,NA,NA,402.7005
1379976575,339.6661059,30.0707577,481.51325
1379980175,349.7622787,51.91425694,265.948
1379983775,473.6715529,75.97726311,348.719
1379987375,473.9497504,102.767238,334.32425
1379990975,526.2874278,118.2885171,192.1735
1379994575,547.4285075,46.5108936,93.56775
1379998175,560.8335557,30.78291389,18.7135
1380001775,614.1138029,35.70124242,1.79975
1380005375,580.2504566,30.22090327,1.44
1380008975,562.0010799,59.27431899,1.44
1380012575,526.3664406,91.48727082,1.44
1380016175,472.9554342,65.73328381,1.44
1380019775,413.403606,125.9429817,1.44
1380023375,404.4063839,103.1316138,1.44
1380026975,381.2428245,169.8280702,1.44
1380030575,371.5897267,117.9892759,1.44
1380034175,343.3891596,47.24395832,1.44
1380037775,331.0838393,119.8318344,1.44
1380041375,277.3421756,44.7376379,1.44
1380044975,244.4079717,38.96158569,10.07675
1380048575,229.0260974,34.19222424,108.2508
1380052175,261.934681,60.67003518,250.83325
1380055775,287.2861435,34.8441835,405.93925
1380059375,229.439153,37.06112022,499.50675
1380062975,290.1063608,NA,399.8215
1380066575,386.2214423,92.48757875,460.6402
1380070175,409.1161924,NA,254.4315
1380073775,442.0368935,91.42673306,138.912
1380077375,454.0291702,104.774496,434.00975
1380080975,459.7272236,102.5497089,270.6265
1380084575,505.8954953,65.23088986,106.1635
1380088175,517.3177154,59.116706,5.3985
1380091775,470.0617025,89.36873112,1.44
1380095375,460.6924649,71.33702049,1.44
1380098975,450.719624,58.33018165,1.44
1380102575,443.6112713,70.8184219,1.44
1380106175,438.7584762,66.92728211,1.44
1380109775,424.6694708,26.2796209,1.44
1380113375,370.9300193,NA,1.44
1380116975,NA,NA,1.44
1380120575,485.8737513,NA,1.44
1380124175,NA,NA,1.44
1380127775,318.3017587,78.08443139,1.44
1380131375,312.9565981,53.97646679,9.717
1380134975,320.0750118,28.09201757,78.09325
1380138575,366.4418467,55.8546121,249.0338
1380142175,404.41689,75.65991117,241.1165
1380145775,414.3516226,35.80087343,304.81425
1380149375,425.9969579,83.29595733,582.638
1380152975,435.8150146,118.5063281,598.47225
1380156575,475.4313426,117.0008553,577.5276
1380160175,476.8955435,97.14917028,491.9495
1380163775,509.276635,100.2852174,377.14925
1380167375,510.0902356,126.1015143,237.51775
1380170975,548.252957,121.200523,79.17275
1380174575,563.8797881,95.18860635,2.8795
1380178175,544.3676606,107.3365149,1.44
1380181775,527.9020052,134.7687154,1.44
1380185375,507.8982115,119.0734672,1.44
1380188975,465.5117126,117.0113192,1.44
1380192575,463.4908953,112.9741834,1.44
1380196175,436.1108149,74.72674259,1.44
1380199775,432.6532627,106.6331675,1.44
1380203375,397.2552681,120.6777593,1.44
1380206975,385.1932588,67.84960665,1.44
1380210575,357.5255277,90.71853444,1.44
1380214175,346.8737827,84.60669499,1.44
1380217775,353.0429567,73.32521881,2.0158
1380221375,405.3850966,43.11025926,15.475
1380224975,425.839309,96.81094796,23.0325
1380228575,430.8812981,76.52654638,82.4115
1380232175,462.682824,89.12844478,82.052
1380235775,475.4028583,50.311058,80.61225
1380239375,488.5634861,51.09919506,65.13775
1380242975,490.7254418,106.1983566,74.85425
1380246575,493.8995832,83.85103348,111.5615
1380250175,505.9338753,95.38313124,90.329
1380253775,518.0130222,108.6505449,47.8635
1380257375,546.1563853,115.4195968,8.637
1380260975,585.4699172,54.0141456,1.44
1380264575,557.7181211,102.5215322,1.44
1380268175,510.8444861,82.96539035,1.44
1380271775,542.2192842,30.59311685,1.44
1380275375,611.5748744,88.92940219,1.44
1380278975,NA,NA,1.44
1380282575,NA,NA,1.44
1380286175,NA,NA,1.44
1380289775,NA,NA,1.44
1380293375,NA,NA,1.44
1380296975,NA,NA,1.44
1380300575,NA,NA,1.44
1380304175,NA,NA,1.44
1380307775,NA,NA,2.5914
1380311375,NA,NA,29.51
1380314975,NA,NA,43.54525
1380318575,NA,NA,54.34125
1380322175,NA,NA,91.7685
1380325775,NA,NA,67.657
1380329375,NA,NA,66.2175
1380332975,NA,NA,89.24925
1380336575,NA,NA,76.2935
1380340175,NA,NA,57.58025
1380343775,NA,NA,30.22975
1380347375,NA,NA,2.5195
1380350975,NA,NA,1.44
1380354575,NA,NA,1.44
1380358175,NA,NA,1.44
1380361775,NA,NA,1.44
1380365375,NA,NA,1.44
1380368975,NA,NA,1.44
1380372575,NA,NA,1.44
1380376175,NA,NA,1.44
1380379775,NA,NA,1.44
1380383375,NA,NA,1.44
1380386975,NA,NA,1.44
1380390575,NA,NA,1.44
1380394175,NA,NA,1.44
1380397775,NA,NA,2.5914
1380401375,NA,NA,29.51
1380404975,NA,NA,43.54525
1380408575,NA,NA,54.34125
1380412175,NA,NA,91.7685
1380415775,NA,NA,67.657
1380419375,NA,NA,66.2175
1380422975,NA,NA,89.24925
1380426575,NA,NA,76.2935
1380430175,NA,NA,57.58025
1380433775,NA,NA,30.22975
1380437375,NA,NA,2.5195
1380440975,NA,NA,1.44
1380444575,NA,NA,1.44
1380448175,NA,NA,1.44
1380451775,NA,NA,1.44
1380455375,NA,NA,1.44
1380458975,NA,NA,1.44
1380462575,NA,NA,1.44
1380466175,NA,NA,1.44
1380469775,NA,NA,1.44
1380473375,NA,NA,1.44
1380476975,NA,NA,3.59925
1380480575,NA,NA,67.297
1380484175,NA,NA,96.08675
1380487775,NA,NA,130.99475
1380491375,NA,NA,228.161
1380494975,NA,NA,282.1425
1380498575,NA,NA,282.14225
1380502175,NA,NA,160.8645
1380505775,NA,NA,346.56
1380509375,NA,NA,255.51125
1380512975,NA,NA,126.67625
1380516575,NA,NA,19.2898
1380520175,NA,NA,1.44
1380523775,NA,NA,1.44
1380527375,NA,NA,1.44
1380530975,NA,NA,1.44
1380534575,NA,NA,1.44
1380538175,NA,NA,1.44
1380541775,NA,NA,1.44
1380545375,NA,NA,1.44
1380548975,NA,NA,1.44
1380552575,NA,NA,1.44
1380556175,NA,NA,1.44
1380559775,NA,NA,1.44
1380563375,NA,NA,2.15975
1380566975,415.8896488,80.66532507,14.03525
1380570575,462.2388568,83.97994206,107.243
1380574175,430.7981345,101.1424852,186.4155
1380577775,486.7959758,89.71113583,345.1924
1380581375,470.9387387,90.11265039,525.41775
1380584975,484.2769291,80.84859562,577.2395
1380588575,483.8719515,103.6265316,525.77775
1380592175,492.5827633,58.95347021,356.63625
1380595775,NA,NA,163.74325
1380599375,NA,NA,163.02375
1380602975,NA,NA,74.85425
1380606575,NA,NA,1.79975
1380610175,NA,NA,1.44
1380613775,NA,NA,1.44
1380617375,NA,NA,1.44
1380620975,NA,NA,1.44
1380624575,NA,NA,1.44
1380628175,NA,NA,1.44
1380631775,NA,NA,1.44
1380635375,NA,NA,1.44
1380638975,NA,NA,1.44
1380642575,NA,NA,1.44
1380646175,NA,NA,1.44
1380649775,NA,NA,1.44
1380653375,386.0411507,54.38116818,11.87625
1380656975,434.5655221,15.04836094,63.33825
1380660575,443.875164,71.60290617,73.77475
1380664175,452.8636836,65.28943045,112.281
1380667775,455.5735855,46.85999461,124.517
1380671375,460.3894738,80.9377497,47.144
1380674975,512.940053,42.90232031,58.65975
1380678575,518.5337061,44.74319462,460.64
1380682175,521.2532907,107.1873684,211.9665
1380685775,545.5136637,94.37352563,127.75575
1380689375,552.4753629,97.04266124,38.147
1380692975,418.8699198,71.83780457,1.44
1380696575,375.2115034,42.24893124,1.44
1380700175,324.4291444,14.55494008,1.44
1380703775,295.8264154,90.68784398,1.44
1380707375,263.6797664,43.10171653,1.44
1380710975,NA,NA,1.44
1380714575,281.2361874,26.65062116,1.44
1380718175,283.5439884,31.46322912,1.44
1380721775,268.9590952,48.16039812,1.44
1380725375,247.6827923,70.06179393,1.44
1380728975,243.2755688,94.25714709,1.44
1380732575,260.0680924,96.03004455,1.44
1380736175,255.1812805,63.87857407,2.15975
1380739775,280.0164976,122.3991688,14.03525
1380743375,NA,NA,107.243
