time[YYYY-MM-DD hh:mm:ss PST], turbidity
"2013/09/04 12:35:53", 3.980
"2013/09/04 12:35:55", 3.980
"2013/09/04 12:35:57", 3.900
"2013/09/04 12:35:59", 3.890
"2013/09/04 12:36:01", 3.940
"2013/09/04 12:38:33", 3.980
"2013/09/04 12:38:35", 3.940
"2013/09/04 12:38:37", 4.000
"2013/09/04 12:38:39", 3.950
"2013/09/04 12:38:41", 3.960
"2013/09/04 12:38:43", 4.250
"2013/09/04 12:38:45", 4.190
"2013/09/04 12:38:47", 4.040
"2013/09/04 12:38:49", 4.000
"2013/09/04 12:38:51", 4.060
"2013/09/04 12:38:53", 3.950
"2013/09/04 12:38:55", 3.900
"2013/09/04 12:38:57", 4.110
"2013/09/04 12:38:59", 4.180
"2013/09/04 12:39:01", 4.050
"2013/09/04 12:39:03", 4.240
"2013/09/04 12:39:05", 4.020
"2013/09/04 12:39:07", 3.910
"2013/09/04 12:39:09", 3.910
"2013/09/04 12:39:11", 3.880
"2013/09/04 12:39:13", 3.970
"2013/09/04 12:39:15", 3.910
"2013/09/04 12:39:17", 3.920
"2013/09/04 12:39:19", 3.940
"2013/09/04 12:39:21", 4.010
"2013/09/04 12:39:23", 3.990
"2013/09/04 12:39:25", 4.070
"2013/09/04 12:39:27", 4.100
"2013/09/04 12:39:29", 4.160
"2013/09/04 12:39:31", 4.120
"2013/09/04 12:39:33", 4.000
"2013/09/04 12:39:35", 3.890
"2013/09/04 12:39:37", 3.900
"2013/09/04 12:39:39", 4.020
"2013/09/04 12:39:41", 3.960
"2013/09/04 12:39:43", 3.900
"2013/09/04 12:39:45", 3.920
"2013/09/04 12:39:47", 3.900
"2013/09/04 12:39:49", 4.020
"2013/09/04 12:39:51", 4.120
"2013/09/04 12:39:53", 4.050
"2013/09/04 12:39:55", 4.000
"2013/09/04 12:39:57", 3.960
"2013/09/04 12:39:59", 3.890
"2013/09/04 12:40:01", 3.970
"2013/09/04 12:40:03", 3.950
"2013/09/04 12:41:33", 3.890
"2013/09/04 12:41:35", 3.900
"2013/09/04 12:41:37", 3.970
"2013/09/04 12:41:39", 3.920
"2013/09/04 12:41:41", 4.070
"2013/09/04 12:41:43", 4.100
"2013/09/04 12:41:45", 4.020
"2013/09/04 12:41:47", 4.050
"2013/09/04 12:41:49", 4.100
"2013/09/04 12:41:51", 4.020
"2013/09/04 12:41:53", 4.030
"2013/09/04 12:41:55", 3.960
"2013/09/04 12:41:57", 3.930
"2013/09/04 12:41:59", 3.950
"2013/09/04 12:42:01", 3.930
"2013/09/04 12:44:33", 3.870
"2013/09/04 12:44:35", 3.880
"2013/09/04 12:44:37", 3.900
"2013/09/04 12:44:39", 3.890
"2013/09/04 12:44:41", 3.880
"2013/09/04 12:44:43", 3.950
"2013/09/04 12:44:45", 3.960
"2013/09/04 12:44:47", 3.970
"2013/09/04 12:44:49", 3.890
"2013/09/04 12:44:51", 3.870
"2013/09/04 12:44:53", 3.940
"2013/09/04 12:44:55", 3.880
"2013/09/04 12:44:57", 3.840
"2013/09/04 12:44:59", 3.870
"2013/09/04 12:45:01", 3.870
"2013/09/04 12:47:31", 3.830
"2013/09/04 12:47:33", 3.890
"2013/09/04 12:47:35", 4.010
"2013/09/04 12:47:37", 3.930
"2013/09/04 12:47:39", 3.950
"2013/09/04 12:47:41", 3.930
"2013/09/04 12:47:43", 4.020
"2013/09/04 12:47:45", 3.950
"2013/09/04 12:47:47", 3.850
"2013/09/04 12:47:49", 3.800
"2013/09/04 12:47:51", 3.790
"2013/09/04 12:47:53", 3.830
"2013/09/04 12:47:55", 3.930
"2013/09/04 12:47:57", 3.850
"2013/09/04 12:47:59", 3.850
"2013/09/04 12:48:01", 3.830
"2013/09/04 12:50:31", 3.790
"2013/09/04 12:50:33", 3.780
"2013/09/04 12:50:35", 3.860
"2013/09/04 12:50:37", 3.880
"2013/09/04 12:50:39", 3.840
"2013/09/04 12:50:41", 3.840
"2013/09/04 12:50:43", 3.810
"2013/09/04 12:50:45", 3.820
"2013/09/04 12:50:47", 3.860
"2013/09/04 12:50:49", 3.900
"2013/09/04 12:50:51", 3.940
"2013/09/04 12:50:53", 4.040
"2013/09/04 12:50:55", 3.980
"2013/09/04 12:50:57", 4.130
"2013/09/04 12:50:59", 3.880
"2013/09/04 12:51:01", 3.900
"2013/09/04 12:53:31", 3.840
"2013/09/04 12:53:33", 3.820
"2013/09/04 12:53:35", 3.810
"2013/09/04 12:53:37", 3.840
"2013/09/04 12:53:39", 4.030
"2013/09/04 12:53:41", 3.860
"2013/09/04 12:53:43", 3.810
"2013/09/04 12:53:45", 3.840
"2013/09/04 12:53:47", 3.830
"2013/09/04 12:53:49", 3.750
"2013/09/04 12:53:51", 3.750
"2013/09/04 12:53:53", 3.780
"2013/09/04 12:53:55", 3.810
"2013/09/04 12:53:57", 3.860
"2013/09/04 12:53:59", 4.020
"2013/09/04 12:54:01", 3.910
"2013/09/04 12:56:31", 3.780
"2013/09/04 12:56:33", 3.790
"2013/09/04 12:56:35", 3.730
"2013/09/04 12:56:37", 3.770
"2013/09/04 12:56:39", 3.810
"2013/09/04 12:56:41", 3.750
"2013/09/04 12:56:43", 3.820
"2013/09/04 12:56:45", 3.760
"2013/09/04 12:56:47", 3.780
"2013/09/04 12:56:49", 3.830
"2013/09/04 12:56:51", 4.200
"2013/09/04 12:56:53", 3.990
"2013/09/04 12:56:55", 3.810
"2013/09/04 12:56:57", 3.740
"2013/09/04 12:56:59", 3.780
"2013/09/04 12:57:01", 3.800
"2013/09/04 12:59:31", 3.740
"2013/09/04 12:59:33", 3.740
"2013/09/04 12:59:35", 3.750
